"","Dataset","Trait","Model","Accuracy","Kappa","Sensitivity","Specificity","F1"
"58","Groundnut_AL","YPH","Conventional_TH",0.792842741935484,0.466998216453943,0.747435897435897,0.803607843137255,0.595628305988045
"59","Indica_AL","GC","Augmented",0.202985074626866,0,1,0,0.337448559670782
"60","Indica_AL","GC","Conventional",0.78691159586682,-0.0190255749682635,0,0.987300435413643,0
"61","Indica_AL","GC","Conventional_TH",0.202985074626866,0,1,0,0.337448559670782
"62","Indica_AL","GY","Augmented",0.202985074626866,0,1,0,0.337448559670782
"63","Indica_AL","GY","Conventional",0.797014925373134,0,0,1,NA
"64","Indica_AL","GY","Conventional_TH",0.202985074626866,0,1,0,0.337448559670782
"65","Indica_AL","PH","Augmented",0.202985074626866,0,1,0,0.337448559670782
"66","Indica_AL","PH","Conventional",0.824814389590509,0.403370676519804,0.45018315018315,0.919593613933236,0.506303521040363
"67","Indica_AL","PH","Conventional_TH",0.202985074626866,0,1,0,0.337448559670782
"68","Indica_AL","PHR","Augmented",0.202985074626866,0,1,0,0.337448559670782
"69","Indica_AL","PHR","Augmented_TH",0.201791044776119,0,1,0,0.335802469135802
"70","Indica_AL","PHR","Conventional",0.768909299655569,0.0431227136674333,0.0923076923076924,0.941509433962264,0.197857142857143
"71","Indica_AL","PHR","Conventional_TH",0.202985074626866,0,1,0,0.337448559670782
"72","Japonica_AL","GC","Augmented",0.199553571428571,0,1,0,0.332686868686869
"73","Japonica_AL","GC","Conventional",0.837644993894994,0.381129064853311,0.364102564102564,0.955806938159879,0.464343434343434
"74","Japonica_AL","GC","Conventional_TH",0.199553571428571,0,1,0,0.332686868686869
"75","Japonica_AL","GY","Augmented",0.199553571428571,0,1,0,0.332686868686869
"76","Japonica_AL","GY","Conventional",0.800446428571429,0.152125297901201,0.184615384615385,0.95369532428356,0.32
"77","Japonica_AL","GY","Conventional_TH",0.199553571428571,0,1,0,0.332686868686869
"78","Japonica_AL","PH","Augmented",0.199553571428571,0,1,0,0.332686868686869
"79","Japonica_AL","PH","Conventional",0.789037698412698,0.0111336516503064,0.0269230769230769,0.979084967320261,0.132307692307692
"80","Japonica_AL","PH","Conventional_TH",0.199553571428571,0,1,0,0.332686868686869
"81","Japonica_AL","PHR","Augmented",0.199553571428571,0,1,0,0.332686868686869
"82","Japonica_AL","PHR","Augmented_TH",0.199970238095238,0,1,0,0.333264069264069
"83","Japonica_AL","PHR","Conventional",0.806665903540903,0.0764681253470695,0.058974358974359,0.993464052287582,0.189285714285715
"84","Japonica_AL","PHR","Conventional_TH",0.199553571428571,0,1,0,0.332686868686869
"85","Maize_AL","Y","Augmented",0.200833333333333,0,1,0,0.334489402697495
